Entity,Code,Day,total_vaccinations
Alabama,,2021-01-12,78134
Alabama,,2021-01-13,84040
Alabama,,2021-01-14,92300
Alabama,,2021-01-15,100567
Alabama,,2021-01-19,130795
Alabama,,2021-01-20,139200
Alabama,,2021-01-21,165919
Alabama,,2021-01-22,199314
Alabama,,2021-01-23,221540
Alabama,,2021-01-24,243737
Alabama,,2021-01-25,250612
Alabama,,2021-01-26,254959
Alabama,,2021-01-27,266444
Alabama,,2021-01-28,278993
Alabama,,2021-01-29,300915
Alabama,,2021-01-30,342436
Alabama,,2021-01-31,353974
Alabama,,2021-02-01,358280
Alabama,,2021-02-02,371882
Alabama,,2021-02-03,388339
Alabama,,2021-02-04,408428
Alabama,,2021-02-05,430597
Alabama,,2021-02-06,455173
Alabama,,2021-02-07,462332
Alabama,,2021-02-08,467636
Alabama,,2021-02-09,490969
Alabama,,2021-02-10,515802
Alabama,,2021-02-11,543237
Alabama,,2021-02-12,571115
Alabama,,2021-02-13,601159
Alabama,,2021-02-14,612254
Alabama,,2021-02-16,636682
Alabama,,2021-02-17,650020
Alabama,,2021-02-18,672038
Alabama,,2021-02-19,739132
Alabama,,2021-02-20,776936
Alabama,,2021-02-21,788613
Alabama,,2021-02-22,793614
Alabama,,2021-02-23,815108
Alabama,,2021-02-24,839703
Alabama,,2021-02-25,864757
Alabama,,2021-02-26,893859
Alabama,,2021-02-27,931090
Alabama,,2021-02-28,942502
Alabama,,2021-03-01,948393
Alabama,,2021-03-02,972161
Alabama,,2021-03-03,1000031
Alabama,,2021-03-04,1032171
Alabama,,2021-03-05,1064578
Alabama,,2021-03-06,1099697
Alabama,,2021-03-07,1110132
Alabama,,2021-03-08,1116676
Alabama,,2021-03-09,1140984
Alabama,,2021-03-10,1173820
Alabama,,2021-03-11,1209802
Alabama,,2021-03-12,1249205
Alabama,,2021-03-13,1288242
Alabama,,2021-03-14,1298612
Alabama,,2021-03-15,1306419
Alabama,,2021-03-16,1332298
Alabama,,2021-03-17,1363987
Alabama,,2021-03-18,1390066
Alabama,,2021-03-19,1426696
Alabama,,2021-03-20,1460782
Alabama,,2021-03-21,1472666
Alabama,,2021-03-22,1479271
Alabama,,2021-03-23,1509445
Alabama,,2021-03-24,1542416
Alabama,,2021-03-25,1579091
Alabama,,2021-03-26,1611404
Alabama,,2021-03-27,1645858
Alabama,,2021-03-28,1659102
Alabama,,2021-03-29,1666585
Alabama,,2021-03-30,1697641
Alabama,,2021-03-31,1728736
Alabama,,2021-04-01,1771979
Alabama,,2021-04-02,1813462
Alabama,,2021-04-03,1847243
Alabama,,2021-04-04,1858833
Alabama,,2021-04-05,1864857
Alabama,,2021-04-06,1896920
Alabama,,2021-04-07,1935221
Alabama,,2021-04-08,1976344
Alabama,,2021-04-09,2021334
Alabama,,2021-04-10,2065327
Alabama,,2021-04-11,2082605
Alabama,,2021-04-12,2092489
Alabama,,2021-04-13,2127317
Alabama,,2021-04-14,2168891
Alabama,,2021-04-15,2207392
Alabama,,2021-04-16,2245574
Alabama,,2021-04-17,2280686
Alabama,,2021-04-18,2292276
Alabama,,2021-04-19,2297563
Alabama,,2021-04-20,2327764
Alabama,,2021-04-21,2360527
Alabama,,2021-04-22,2394304
Alabama,,2021-04-23,2429629
Alabama,,2021-04-24,2461510
Alabama,,2021-04-25,2471409
Alaska,,2021-01-12,35838
Alaska,,2021-01-13,38680
Alaska,,2021-01-14,42596
Alaska,,2021-01-15,49039
Alaska,,2021-01-19,66331
Alaska,,2021-01-20,68293
Alaska,,2021-01-21,71907
Alaska,,2021-01-22,81096
Alaska,,2021-01-23,88344
Alaska,,2021-01-24,94257
Alaska,,2021-01-25,97031
Alaska,,2021-01-26,98149
Alaska,,2021-01-27,101597
Alaska,,2021-01-28,105858
Alaska,,2021-01-29,110396
Alaska,,2021-01-30,115268
Alaska,,2021-01-31,119590
Alaska,,2021-02-01,122020
Alaska,,2021-02-02,123443
Alaska,,2021-02-03,125765
Alaska,,2021-02-04,129936
Alaska,,2021-02-05,134002
Alaska,,2021-02-06,139147
Alaska,,2021-02-07,146082
Alaska,,2021-02-08,150934
Alaska,,2021-02-09,152874
Alaska,,2021-02-10,156255
Alaska,,2021-02-11,162273
Alaska,,2021-02-12,167436
Alaska,,2021-02-13,175138
Alaska,,2021-02-14,183831
Alaska,,2021-02-16,191008
Alaska,,2021-02-17,193617
Alaska,,2021-02-18,199151
Alaska,,2021-02-19,216223
Alaska,,2021-02-20,227403
Alaska,,2021-02-21,235141
Alaska,,2021-02-22,238279
Alaska,,2021-02-23,239927
Alaska,,2021-02-24,243650
Alaska,,2021-02-25,249559
Alaska,,2021-02-26,254334
Alaska,,2021-02-27,259538
Alaska,,2021-02-28,264741
Alaska,,2021-03-01,268406
Alaska,,2021-03-02,269941
Alaska,,2021-03-03,273350
Alaska,,2021-03-04,276891
Alaska,,2021-03-05,281467
Alaska,,2021-03-06,288625
Alaska,,2021-03-07,295046
Alaska,,2021-03-08,298144
Alaska,,2021-03-09,302687
Alaska,,2021-03-10,307769
Alaska,,2021-03-11,313365
Alaska,,2021-03-12,318526
Alaska,,2021-03-13,324271
Alaska,,2021-03-14,333357
Alaska,,2021-03-15,337141
Alaska,,2021-03-16,339647
Alaska,,2021-03-17,345987
Alaska,,2021-03-18,351093
Alaska,,2021-03-19,356055
Alaska,,2021-03-20,362698
Alaska,,2021-03-21,372435
Alaska,,2021-03-22,375590
Alaska,,2021-03-23,376555
Alaska,,2021-03-24,379296
Alaska,,2021-03-25,384503
Alaska,,2021-03-26,389775
